"SalePrice","LotArea","Bedrooms","GarageArea","OverallCond","OverallQual","housetype","YearBuilt","YearRemodAdd","YrSold","HalfBath","FullBath","Garage"
208500,8450,3,548,5,7,"1Fam",2003,2003,2008,1,3,0
181500,9600,3,460,8,6,"1Fam",1976,1976,2007,1,2,0
223500,11250,3,608,5,7,"1Fam",2001,2002,2008,1,3,0
140000,9550,3,642,5,7,"1Fam",1915,1970,2006,0,2,0
250000,14260,4,836,5,8,"1Fam",2000,2000,2008,1,3,0
143000,14115,1,480,5,5,"1Fam",1993,1995,2009,1,2,0
307000,10084,3,636,5,8,"1Fam",2004,2005,2007,0,3,0
200000,10382,3,484,6,7,"1Fam",1973,1973,2009,1,3,0
129900,6120,2,468,5,7,"1Fam",1931,1950,2008,0,2,0
118000,7420,2,205,6,5,"2fmCon",1939,1950,2008,0,2,0
129500,11200,3,384,5,5,"1Fam",1965,1965,2008,0,2,0
345000,11924,4,736,5,9,"1Fam",2005,2006,2006,0,4,0
144000,12968,2,352,6,5,"1Fam",1962,1962,2008,0,2,0
279500,10652,3,840,5,7,"1Fam",2006,2007,2007,0,2,0
157000,10920,2,352,5,6,"1Fam",1960,1960,2008,1,2,0
132000,6120,2,576,8,7,"1Fam",1929,2001,2007,0,1,0
149000,11241,2,480,7,6,"1Fam",1970,1970,2010,0,2,0
90000,10791,2,516,5,4,"Duplex",1967,1967,2006,0,2,0
159000,13695,3,576,5,5,"1Fam",2004,2004,2008,1,2,0
139000,7560,3,294,6,5,"1Fam",1958,1965,2009,0,1,0
325300,14215,4,853,5,8,"1Fam",2005,2006,2006,1,3,0
139400,7449,3,280,7,7,"1Fam",1930,1950,2007,0,1,0
230000,9742,3,534,5,8,"1Fam",2002,2002,2008,0,2,0
129900,4224,3,572,7,5,"TwnhsE",1976,1976,2007,0,2,0
154000,8246,3,270,8,5,"1Fam",1968,2001,2010,0,2,0
256300,14230,3,890,5,8,"1Fam",2007,2007,2009,0,2,0
134800,7200,3,576,7,5,"1Fam",1951,2000,2010,1,1,0
306000,11478,3,772,5,8,"1Fam",2007,2008,2010,0,3,0
207500,16321,2,319,6,5,"1Fam",1957,1997,2006,0,2,0
68500,6324,1,240,6,4,"1Fam",1927,1950,2008,0,1,0
