"prix","type","classe","tarif","dest","duree","jour"
143.4,"AVE","Preferente","Promo",0,190,6
181.5,"AVE","Preferente","Flexible",0,190,2
86.8,"AVE","Preferente","Promo",0,165,7
86.8,"AVE","Preferente","Promo",0,190,7
68.95,"AVE-TGV","Preferente","Promo",0,175,4
53.2,"AVE","Preferente","Promo",0,190,7
112.55,"AVE","Preferente","Promo",0,190,4
98,"AVE","Preferente","Promo",0,180,1
98,"AVE","Preferente","Promo",0,165,6
98,"AVE","Preferente","Promo",0,190,3
54.45,"AVE","Preferente","Promo",0,180,2
112.55,"AVE","Preferente","Promo",0,165,5
181.5,"AVE","Preferente","Flexible",0,190,6
98,"AVE","Preferente","Promo",0,165,7
181.5,"AVE","Preferente","Flexible",0,190,4
98,"AVE","Preferente","Promo",0,180,1
115.65,"AVE","Preferente","Promo",0,150,2
98,"AVE","Preferente","Promo",0,167,5
81.4,"AVE","Preferente","Promo",0,150,6
143.4,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,6
181.5,"AVE","Preferente","Flexible",0,190,6
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,5
98,"AVE","Preferente","Promo",0,190,7
98.55,"AVE","Preferente","Promo",0,150,1
115.65,"AVE","Preferente","Promo",0,150,5
181.5,"AVE","Preferente","Flexible",0,156,3
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,170,2
68.95,"AVE","Preferente","Promo",0,150,6
98,"AVE","Preferente","Promo",0,165,1
98,"AVE","Preferente","Promo",0,190,3
98,"AVE","Preferente","Promo",0,190,3
98,"AVE","Preferente","Promo",0,165,4
169.2,"AVE","Preferente","Promo",0,150,4
98,"AVE","Preferente","Promo",0,170,2
98,"AVE","Preferente","Promo",0,190,2
98,"AVE","Preferente","Promo",0,170,2
115.65,"AVE","Preferente","Promo",0,150,6
98,"AVE","Preferente","Promo",0,156,5
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,7
98,"AVE","Preferente","Promo",0,165,2
98,"AVE","Preferente","Promo",0,165,1
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,3
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,1
98,"AVE","Preferente","Promo",0,190,1
